"Year","Country","Rate","Metavoli"
"1998","South Korea","1400.4","447.21000000000004"
"1999","South Korea","1189.84","-210.56000000000017"
"2000","South Korea","1130.9","-58.93999999999983"
"2001","South Korea","1292.01","161.1099999999999"
"2002","South Korea","1250.31","-41.700000000000045"
"2003","South Korea","1192.08","-58.23000000000002"
"2004","South Korea","1145.24","-46.83999999999992"
"2005","South Korea","1023.75","-121.49000000000001"
"2006","South Korea","954.32","-69.42999999999995"
"2007","South Korea","928.97","-25.350000000000023"
"2008","South Korea","1098.71","169.74"
"2009","South Korea","1274.63","175.92000000000007"
"2010","South Korea","1155.74","-118.8900000000001"
"2011","South Korea","1106.94","-48.799999999999955"
"2012","South Korea","1126.16","19.220000000000027"
"2013","South Korea","1094.67","-31.49000000000001"
"2014","South Korea","1052.29","-42.38000000000011"
"2015","South Korea","1130.96","78.67000000000007"
"2016","South Korea","1159.34","28.37999999999988"
"1971","Sweden","5.1051","  "
"1972","Sweden","4.7571","-0.34799999999999986"
"1973","Sweden","4.3619","-0.3952"
"1974","Sweden","4.4387","0.07679999999999954"
"1975","Sweden","4.1531","-0.28559999999999963"
"1976","Sweden","4.358","0.20489999999999942"
"1977","Sweden","4.4802","0.12220000000000031"
"1978","Sweden","4.5207","0.04049999999999976"
"1979","Sweden","4.2893","-0.23139999999999983"
"1980","Sweden","4.231","-0.05830000000000002"
"1981","Sweden","5.066","0.835"
"1982","Sweden","6.2839","1.2179000000000002"
"1983","Sweden","7.6718","1.3879000000000001"
"1984","Sweden","8.2708","0.5989999999999993"
"1985","Sweden","8.6032","0.3323999999999998"
"1986","Sweden","7.1273","-1.4758999999999993"
"1987","Sweden","6.3469","-0.7804000000000002"
"1988","Sweden","6.137","-0.2099000000000002"
"1989","Sweden","6.4559","0.3189000000000002"
"1990","Sweden","5.9231","-0.5327999999999999"
"1991","Sweden","6.0521","0.12900000000000045"
"1992","Sweden","5.8258","-0.22630000000000017"
"1993","Sweden","7.7956","1.9698000000000002"
"1994","Sweden","7.7161","-0.07950000000000035"
"1995","Sweden","7.1406","-0.5754999999999999"
"1996","Sweden","6.7082","-0.43240000000000034"
"1997","Sweden","7.6447","0.9365000000000006"
"1998","Sweden","7.9522","0.3075000000000001"
"1999","Sweden","8.274","0.32179999999999875"
"2000","Sweden","9.1735","0.8995000000000015"
"2001","Sweden","10.3425","1.1689999999999987"
"2002","Sweden","9.7233","-0.6191999999999993"
"2003","Sweden","8.0787","-1.6446000000000005"
"2004","Sweden","7.348","-0.7306999999999997"
"2005","Sweden","7.471","0.12300000000000022"
"2006","Sweden","7.3718","-0.09919999999999973"
"2007","Sweden","6.755","-0.6168000000000005"
"2008","Sweden","6.5846","-0.17039999999999988"
"2009","Sweden","7.6539","1.0693000000000001"
"2010","Sweden","7.2053","-0.4485999999999999"
"2011","Sweden","6.4878","-0.7175000000000002"
"2012","Sweden","6.7721","0.2843"
"2013","Sweden","6.5124","-0.2596999999999996"
"2014","Sweden","6.8576","0.3451999999999993"
"2015","Sweden","8.435","1.5774000000000008"
"2016","Sweden","8.5541","0.11909999999999954"
"1971","Switzerland","4.1171","  "
"1972","Switzerland","3.8186","-0.29849999999999977"
"1973","Switzerland","3.1688","-0.6497999999999999"
"1974","Switzerland","2.9805","-0.1882999999999999"
"1975","Switzerland","2.5839","-0.3966000000000003"
"1976","Switzerland","2.5002","-0.08369999999999989"
"1977","Switzerland","2.4065","-0.09370000000000012"
"1978","Switzerland","1.7907","-0.6157999999999999"
"1979","Switzerland","1.6644","-0.12629999999999986"
"1980","Switzerland","1.6772","0.012799999999999923"
"1981","Switzerland","1.9675","0.2903"
"1982","Switzerland","2.0319","0.06439999999999979"
"1983","Switzerland","2.1007","0.06879999999999997"
"1984","Switzerland","2.35","0.2493000000000003"
"1985","Switzerland","2.4552","0.10519999999999996"
"1986","Switzerland","1.7979","-0.6573"
"1987","Switzerland","1.4918","-0.30610000000000004"
"1988","Switzerland","1.4643","-0.02750000000000008"
"1989","Switzerland","1.6369","0.1726000000000001"
"1990","Switzerland","1.3901","-0.24680000000000013"
"1991","Switzerland","1.4356","0.045500000000000096"
"1992","Switzerland","1.4064","-0.029199999999999893"
"1993","Switzerland","1.4781","0.07169999999999987"
"1994","Switzerland","1.3667","-0.11139999999999994"
"1995","Switzerland","1.1812","-0.1855"
"1996","Switzerland","1.2361","0.05489999999999995"
"1997","Switzerland","1.4514","0.21530000000000005"
"1998","Switzerland","1.4506","-8.000000000001339E-4"
"1999","Switzerland","1.5045","0.05390000000000006"
"2000","Switzerland","1.6904","0.18589999999999995"
"2001","Switzerland","1.6891","-0.0012999999999998568"
"2002","Switzerland","1.5567","-0.13240000000000007"
"2003","Switzerland","1.345","-0.2117"
"2004","Switzerland","1.2428","-0.10220000000000007"
"2005","Switzerland","1.2459","0.0031000000000001027"
"2006","Switzerland","1.2532","0.007300000000000084"
"2007","Switzerland","1.1999","-0.053300000000000125"
"2008","Switzerland","1.0816","-0.11830000000000007"
"2009","Switzerland","1.086","0.0044000000000001815"
"2010","Switzerland","1.0432","-0.04280000000000017"
"2011","Switzerland","0.8862","-0.15699999999999992"
"2012","Switzerland","0.9377","0.05149999999999999"
"2013","Switzerland","0.9269","-0.010800000000000032"
"2014","Switzerland","0.9147","-0.012199999999999989"
"2015","Switzerland","0.9628","0.04810000000000003"
"2016","Switzerland","0.9848","0.02200000000000002"
"1983","Taiwan","39.285","  "
"1984","Taiwan","39.636","0.3510000000000062"
"1985","Taiwan","39.9","0.2639999999999958"
"1986","Taiwan","37.852","-2.048000000000002"
"1987","Taiwan","31.753","-6.098999999999997"
"1988","Taiwan","28.636","-3.117000000000001"
"1989","Taiwan","26.407","-2.228999999999999"
"1990","Taiwan","26.918","0.5109999999999992"
"1991","Taiwan","26.759","-0.15899999999999892"
"1992","Taiwan","25.16","-1.5990000000000002"
"1993","Taiwan","26.416","1.2560000000000002"
"1994","Taiwan","26.465","0.04899999999999949"
"1995","Taiwan","26.496","0.030999999999998806"
"1996","Taiwan","27.468","0.9720000000000013"
"1997","Taiwan","28.775","1.3069999999999986"
"1998","Taiwan","33.547","4.7719999999999985"
"1999","Taiwan","32.322","-1.2249999999999943"
"2000","Taiwan","31.26","-1.0620000000000012"
"2001","Taiwan","33.824","2.5639999999999965"
"2002","Taiwan","34.536","0.7120000000000033"
"2003","Taiwan","34.405","-0.13100000000000023"
"2004","Taiwan","33.372","-1.0330000000000013"
"2005","Taiwan","32.131","-1.2409999999999997"
"2006","Taiwan","32.507","0.37599999999999767"
"2007","Taiwan","32.855","0.347999999999999"
"2008","Taiwan","31.521","-1.333999999999996"
"2009","Taiwan","33.02","1.4990000000000023"
"2010","Taiwan","31.497","-1.5230000000000032"
"2011","Taiwan","29.382","-2.1149999999999984"
"2012","Taiwan","29.558","0.17599999999999838"
"2013","Taiwan","29.68","0.12199999999999989"
"2014","Taiwan","30.299","0.6189999999999998"
"2015","Taiwan","31.744","1.4450000000000003"
"2016","Taiwan","32.226","0.4819999999999993"
"1981","Thailand","21.819","  "
"1982","Thailand","23.014","1.1950000000000003"
"1983","Thailand","22.992","-0.021999999999998465"
"1984","Thailand","23.583","0.5909999999999975"
"1985","Thailand","27.194","3.6110000000000007"
"1986","Thailand","26.315","-0.8789999999999978"
"1987","Thailand","25.771","-0.5440000000000005"
"1988","Thailand","25.312","-0.45899999999999963"
"1989","Thailand","25.72","0.4079999999999977"
"1990","Thailand","25.609","-0.1109999999999971"
"1991","Thailand","25.542","-0.06700000000000017"
"1992","Thailand","25.411","-0.13100000000000023"
"1993","Thailand","25.333","-0.07800000000000296"
"1994","Thailand","25.161","-0.17199999999999704"
"1995","Thailand","24.921","-0.240000000000002"
"1996","Thailand","25.359","0.4380000000000024"
"1997","Thailand","31.072","5.712999999999997"
"1998","Thailand","41.262","10.190000000000001"
"1999","Thailand","37.887","-3.375"
"2000","Thailand","40.21","2.3230000000000004"
"2001","Thailand","44.532","4.321999999999996"
"2002","Thailand","43.019","-1.5129999999999981"
"2003","Thailand","41.556","-1.463000000000001"
"2004","Thailand","40.271","-1.2849999999999966"
"2005","Thailand","40.252","-0.01899999999999835"
"2006","Thailand","37.876","-2.3760000000000048"
"2007","Thailand","32.203","-5.672999999999995"
"2008","Thailand","32.962","0.7590000000000003"
"2009","Thailand","34.31","1.347999999999999"
"2010","Thailand","31.7","-2.610000000000003"
"2011","Thailand","30.462","-1.2379999999999995"
"2012","Thailand","31.055","0.593"
"2013","Thailand","30.696","-0.3589999999999982"
"2014","Thailand","32.462","1.7660000000000018"
"2015","Thailand","34.242","1.779999999999994"
"2016","Thailand","35.264","1.0220000000000056"
"1995","Venezuela","0.17","  "
"1996","Venezuela","0.42","0.24999999999999997"
"1997","Venezuela","0.49","0.07"
"1998","Venezuela","0.55","0.06000000000000005"
"1999","Venezuela","0.61","0.05999999999999994"
"2000","Venezuela","0.68","0.07000000000000006"
"2001","Venezuela","0.72","0.039999999999999925"
"2002","Venezuela","1.16","0.43999999999999995"
"2003","Venezuela","1.61","0.4500000000000002"
"2004","Venezuela","1.89","0.2799999999999998"
"2005","Venezuela","2.11","0.21999999999999997"
"2006","Venezuela","2.14","0.03000000000000025"
"2007","Venezuela","2.14","0.0"
"2008","Venezuela","2.14","0.0"
"2009","Venezuela","2.14","0.0"
"2010","Venezuela","4.24","2.1"
"2011","Venezuela","4.29","0.04999999999999982"
"2012","Venezuela","4.29","0.0"
"2013","Venezuela","6.07","1.7800000000000002"
"2014","Venezuela","6.28","0.20999999999999996"
"2015","Venezuela","6.28","0.0"
"2016","Venezuela","9.28","2.999999999999999"
